Country Name,Country Code,Series Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Albania,ALB,GDP (constant 2015 US$),11470171826.9575,11918533446.9749,12309839868.7084,12761785703.1071,13025007474.8895,12593390460.142,13722964212.462
Albania,ALB,GDP per capita (constant 2015 US$),4199.53912925398,4431.55635814168,4648.23078660658,4893.82375538717,5072.43648354739,4980.61699524696,5511.75743402862
Albania,ALB,"Government expenditure on education, total (% of government expenditure)",11.1775503158569,13.596960067749,12.3852100372315,10.8817322436585,13.4334001541138,10.267430305481,9.40900993347168
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),19.276,17.054,13.694,14.014,12.296,12.54,10.379
Albania,ALB,Unemployment with basic education (% of total labor force with basic education),13.5,12.916,12.24,9.907,8.687,9.345,10.109
Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),20.502,17.652,15.294,14.232,14.259,13.559,13.279
Armenia,ARM,GDP (constant 2015 US$),10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682
Armenia,ARM,GDP per capita (constant 2015 US$),3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187
Armenia,ARM,"Government expenditure on education, total (% of government expenditure)",10.6563596725464,10.1971998214722,10.4031295776367,8.67858759584602,8.57524427236558,8.82777976989746,9.6553201675415
Armenia,ARM,Unemployment with advanced education (% of total labor force with advanced education),17.529,16.815,17.817,11.58,9.405,7.323,7.431
Armenia,ARM,Unemployment with basic education (% of total labor force with basic education),15.244,14.57,17.403,7.052,11.576,7.806,7.087
Armenia,ARM,Unemployment with intermediate education (% of total labor force with intermediate education),18.835,18.226,17.683,10.008,9.936,9.025,9.761
Austria,AUT,GDP (constant 2015 US$),379546097300.633,387581921834.297,396388751744.592,406235924915.185,413365268699.049,387247796560.501,406312360757.929
Austria,AUT,GDP per capita (constant 2015 US$),43915.228020857,44362.6702805116,45056.6385912412,45951.5819164034,46550.5622459492,43428.6983137234,45368.6434337368
Austria,AUT,"Government expenditure on education, total (% of government expenditure)",10.7222204208374,10.8798904418945,10.8424501419067,10.6811504364014,10.6711502075195,9.73538017272949,9.78234004974365
Austria,AUT,Unemployment with advanced education (% of total labor force with advanced education),3.953,3.614,3.212,3.296,3.066,3.281,4.138
Austria,AUT,Unemployment with basic education (% of total labor force with basic education),11.147,12.659,13.005,11.453,10.715,11.533,14.347
Austria,AUT,Unemployment with intermediate education (% of total labor force with intermediate education),5.508,5.822,5.105,4.311,3.997,4.885,6.045
Belgium,BEL,GDP (constant 2015 US$),461044767544.531,466547349432.055,473426439010.72,482317238282.145,494099718080.569,470417598101.755,499839663858.827
Belgium,BEL,GDP per capita (constant 2015 US$),40893.804537772,41172.8862831209,41619.328629169,42208.3625650272,43006.4042308863,40769.0218072962,43140.9676652971
Belgium,BEL,"Government expenditure on education, total (% of government expenditure)",12.007269859314,12.1512203216553,12.3418598175049,12.1805801391602,12.2196102142334,11.5557899475098,11.6143798828125
Belgium,BEL,Unemployment with advanced education (% of total labor force with advanced education),4.592,4.204,3.728,3.162,2.83,3.25,3.309
Belgium,BEL,Unemployment with basic education (% of total labor force with basic education),15.995,15.404,13.862,12.123,10.788,11.62,13.661
Belgium,BEL,Unemployment with intermediate education (% of total labor force with intermediate education),8.699,8.045,7.517,6.159,5.659,5.894,6.984
Bolivia,BOL,GDP (constant 2015 US$),33000198248.9146,34407300587.1524,35850757840.6068,36878987707.3734,37434651169.5829,32673162315.3388,35949969735.497
Bolivia,BOL,GDP per capita (constant 2015 US$),2996.01289811344,3077.57057564766,3160.16421228968,3204.53670819124,3207.3869521223,2765.0927177231,3011.55110807557
Bolivia,BOL,"Government expenditure on education, total (% of government expenditure)",18.2940692901611,20.3791904449463,20.95578956604,21.2533798217773,22.3840599060059,22.9417705535889,22.9013805389404
Bolivia,BOL,Unemployment with advanced education (% of total labor force with advanced education),3.77,6.208,6.416,5.993,5.286,13.033,7.725
Bolivia,BOL,Unemployment with basic education (% of total labor force with basic education),2.917,2.763,2.815,2.486,2.913,6.711,3.281
Bolivia,BOL,Unemployment with intermediate education (% of total labor force with intermediate education),4.593,4.847,5.014,5.03,5.163,10.702,6.813
Brazil,BRA,GDP (constant 2015 US$),1802211999456.42,1743173031878.48,1766232928473.27,1797736638146.82,1819683008336.22,1760056385298.89,1843880907790.44
Brazil,BRA,GDP per capita (constant 2015 US$),8936.1955889444,8577.84277969667,8628.25209645723,8722.33529970988,8771.43950372603,8435.01046209185,8799.22844579944
Brazil,BRA,"Government expenditure on education, total (% of government expenditure)",13.5114603042603,13.8761100769043,14.2683095932007,13.7809400558472,13.8547201156616,12.4982500076294,13.6161603927612
Brazil,BRA,Unemployment with advanced education (% of total labor force with advanced education),4.725,5.912,6.424,6.178,6.16,6.717,6.95
Brazil,BRA,Unemployment with basic education (% of total labor force with basic education),8.903,13.486,14.998,14.492,14.166,16.34,15.623
Brazil,BRA,Unemployment with intermediate education (% of total labor force with intermediate education),7.235,13.032,14.172,13.704,13.302,15.637,14.936
Bulgaria,BGR,GDP (constant 2015 US$),50765918159.1476,52302413861.9149,53738599840.5621,54990790971.5665,57076766353.313,55288418257.0389,59616490915.7479
Bulgaria,BGR,GDP per capita (constant 2015 US$),7268.65445473873,7586.50411050819,7898.70693013652,8194.37434587757,8626.13418680372,8440.08304721192,9161.47737990726
Bulgaria,BGR,"Government expenditure on education, total (% of government expenditure)",10.4063396453857,11.6558198928833,12.7309503555298,11.7900295257568,11.7067098617554,11.914999961853,12.2527103424072
Bulgaria,BGR,Unemployment with advanced education (% of total labor force with advanced education),3.922,3.571,2.802,2.253,2.006,2.118,2.021
Bulgaria,BGR,Unemployment with basic education (% of total labor force with basic education),23.714,20.73,18.478,14.637,12.173,14.06,13.966
Bulgaria,BGR,Unemployment with intermediate education (% of total labor force with intermediate education),8.384,6.766,5.147,4.703,3.323,4.552,5.136
Canada,CAN,GDP (constant 2015 US$),1556508816217.14,1572673952924.25,1620386284360.03,1664832887873.71,1696605090551.84,1611126165625.03,1706996679677.69
Canada,CAN,GDP per capita (constant 2015 US$),43594.1941045394,43551.3425975115,44339.3886689254,44907.3436912123,45100.2915069262,42366.1285377884,44639.193269037
Canada,CAN,"Government expenditure on education, total (% of government expenditure)",12.351619720459,12.0354995727539,12.1707401275635,12.0848703384399,11.7379398345947,12.0423498153687,9.0687198638916
Canada,CAN,Unemployment with advanced education (% of total labor force with advanced education),5.321,5.512,5.117,4.626,4.441,7.609,5.944
Canada,CAN,Unemployment with basic education (% of total labor force with basic education),14.13,14.072,12.871,11.776,11.537,17.026,14.532
Canada,CAN,Unemployment with intermediate education (% of total labor force with intermediate education),8.246,8.229,7.445,6.91,7.122,13.072,9.976
Chile,CHL,GDP (constant 2015 US$),242450355830.884,246700604515.86,250050047209.619,260027117802.785,261676645417.276,245600606668.884,273390120031.28
Chile,CHL,GDP per capita (constant 2015 US$),13433.9202987032,13505.097711133,13473.3458532934,13763.0068844795,13630.5935435578,12679.024004022,14051.4713630677
Chile,CHL,"Government expenditure on education, total (% of government expenditure)",19.5937099456787,21.1555995941162,21.3112392425537,21.3660697937012,21.2336292266846,19.3545894622803,14.8808498382568
Chile,CHL,Unemployment with advanced education (% of total labor force with advanced education),5.054,6.195,7.032,7.589,6.854,9.568,8.132
Chile,CHL,Unemployment with basic education (% of total labor force with basic education),6.593,6.359,6.785,7.32,6.987,11.108,9.169
Chile,CHL,Unemployment with intermediate education (% of total labor force with intermediate education),7.417,7.728,7.905,8.172,8.387,12.188,10.31
Costa Rica,CRI,GDP (constant 2015 US$),56441920820.5194,58814921621.3159,61260269007.514,62862779082.5908,64382494195.8,61631202097.7205,66522107766.4296
Costa Rica,CRI,GDP per capita (constant 2015 US$),11714.7105980732,12084.4351325634,12468.5654531709,12679.5253643016,12877.650101079,12242.2098908533,13146.6927918465
Costa Rica,CRI,"Government expenditure on education, total (% of government expenditure)",23.3734302520752,23.4232006072998,30.1514205932617,26.086669921875,32.5915794372559,30.0822105407715,31.1666202545166
Costa Rica,CRI,Unemployment with advanced education (% of total labor force with advanced education),5.848,4.65,4.353,5.106,6.096,8.933,7.503
Costa Rica,CRI,Unemployment with basic education (% of total labor force with basic education),8.969,9.283,8.481,9.585,11.838,18.182,16.15
Costa Rica,CRI,Unemployment with intermediate education (% of total labor force with intermediate education),10.672,8.912,9.566,12.346,13.813,21.104,21.012
Czechia,CZE,GDP (constant 2015 US$),189107698561.919,193988322685.058,204024435232.921,209798950825.42,217279912681.73,205753475017.539,214043320221.167
Czechia,CZE,GDP per capita (constant 2015 US$),17931.5987670768,18359.0978103904,19257.6930680911,19736.6295261285,20360.0599221814,19233.1469549829,20373.8783043424
Czechia,CZE,"Government expenditure on education, total (% of government expenditure)",13.7159204483032,13.9704904556274,9.76344966888428,10.5082101821899,11.0653696060181,9.9995002746582,10.3313598632812
Czechia,CZE,Unemployment with advanced education (% of total labor force with advanced education),2.381,1.871,1.483,1.185,0.996,1.418,1.359
Czechia,CZE,Unemployment with basic education (% of total labor force with basic education),22.692,20.466,12.992,10.637,10.696,10.4,12.861
Czechia,CZE,Unemployment with intermediate education (% of total labor force with intermediate education),4.702,3.498,2.691,2.059,1.749,2.394,2.686
Dominican Republic,DOM,GDP (constant 2015 US$),70966782572.4386,75735566406.0476,78714898894.6559,84301701754.6018,88427452425.8944,81415993438.0734,92824351636.8768
Dominican Republic,DOM,GDP per capita (constant 2015 US$),6800.95309395474,7177.75376475488,7379.39978067137,7818.70593240469,8117.04639185786,7395.8734262396,8344.90510312395
Dominican Republic,DOM,"Government expenditure on education, total (% of government expenditure)",22.313569934789,21.9452020986914,22.3436003287715,22.1554688287358,22.3415073008317,20.63404198849,19.5941780430939
Dominican Republic,DOM,Unemployment with advanced education (% of total labor force with advanced education),6.12,4.617,5.136,3.745,5.449,5.555,8.054
Dominican Republic,DOM,Unemployment with basic education (% of total labor force with basic education),7.159,6.482,4.899,4.861,4.766,4.08,5.952
Dominican Republic,DOM,Unemployment with intermediate education (% of total labor force with intermediate education),11.513,10.206,8.128,9.621,9.785,9.02,10.623
El Salvador,SLV,GDP (constant 2015 US$),23438240000.0,24033351541.724,24573529736.8617,25166352435.5773,25779775126.5993,23744951345.511,26571731219.3539
El Salvador,SLV,GDP per capita (constant 2015 US$),3790.34089108162,3875.84691357954,3954.84014277572,4046.16291720583,4143.11437097867,3808.53195436409,4247.54750394978
El Salvador,SLV,"Government expenditure on education, total (% of government expenditure)",14.4225101470947,13.9301700592041,13.2611303329468,13.0620498657227,12.1919403076172,11.194299697876,11.5080699920654
El Salvador,SLV,Unemployment with advanced education (% of total labor force with advanced education),5.507,6.158,5.614,4.9,5.996,6.577,5.254
El Salvador,SLV,Unemployment with basic education (% of total labor force with basic education),3.887,3.407,3.692,3.748,3.393,3.967,3.623
El Salvador,SLV,Unemployment with intermediate education (% of total labor force with intermediate education),5.676,8.009,8.255,7.442,6.679,9.622,7.957
Estonia,EST,GDP (constant 2015 US$),23311847750.9394,24032887679.5037,25387062190.0468,26326306710.8582,27307395871.0676,26519903136.8312,28709089435.1187
Estonia,EST,GDP per capita (constant 2015 US$),17722.1557669523,18264.9873304279,19270.8141210511,19914.3454922878,20579.8756732376,19946.945696898,21570.6658455268
Estonia,EST,"Government expenditure on education, total (% of government expenditure)",12.8675603866577,12.9944200515747,12.51416015625,13.2388801574707,13.2011098861694,12.1634101867676,12.3894596099853
Estonia,EST,Unemployment with advanced education (% of total labor force with advanced education),3.969,3.899,3.248,3.518,2.823,4.757,3.445
Estonia,EST,Unemployment with basic education (% of total labor force with basic education),12.286,12.887,10.768,10.536,9.644,13.567,14.233
Estonia,EST,Unemployment with intermediate education (% of total labor force with intermediate education),6.927,7.797,6.631,5.682,4.795,7.425,6.854
Finland,FIN,GDP (constant 2015 US$),233210733506.25,239208760000.401,247110710501.527,250058685918.643,253433824168.6,247120696232.09,253734502126.393
Finland,FIN,GDP per capita (constant 2015 US$),42560.3456767103,43529.6761616969,44862.220404205,45337.2409550575,45898.5708448954,44690.9801103074,45792.0454180872
Finland,FIN,"Government expenditure on education, total (% of government expenditure)",12.686710357666,12.5376996994019,12.1255102157593,11.9958200454712,12.2682104110718,11.8351697921753,11.9451198577881
Finland,FIN,Unemployment with advanced education (% of total labor force with advanced education),6.395,5.804,5.637,4.344,4.021,4.515,4.598
Finland,FIN,Unemployment with basic education (% of total labor force with basic education),16.447,17.372,16.03,17.098,15.371,19.279,15.986
Finland,FIN,Unemployment with intermediate education (% of total labor force with intermediate education),10.156,9.563,9.522,7.86,7.26,8.396,8.384
Georgia,GEO,GDP (constant 2015 US$),15223796148.8396,15749049874.5344,16561685511.0983,17565660917.3341,18510819818.4957,17346401920.57,19192793472.268
Georgia,GEO,GDP per capita (constant 2015 US$),4086.6223465965,4225.09154904806,4442.50744127374,4713.65354845303,4975.81148194814,4659.60925318234,5175.19865185825
Georgia,GEO,"Government expenditure on education, total (% of government expenditure)",10.129154395962,12.6661996841431,12.9533596038818,12.9514999389648,13.3578996658325,10.3446787622305,11.5247602462769
Georgia,GEO,Unemployment with advanced education (% of total labor force with advanced education),19.095,19.582,15.444,12.887,11.291,12.308,12.108
Georgia,GEO,Unemployment with basic education (% of total labor force with basic education),10.199,12.303,10.936,10.491,11.274,12.86,12.474
Georgia,GEO,Unemployment with intermediate education (% of total labor force with intermediate education),15.598,15.185,13.489,12.831,11.798,11.312,11.631
Germany,DEU,GDP (constant 2015 US$),3425099578746.09,3501212900675.89,3599173571724.7,3640049243667.4,3675639268112.03,3523764998709.97,3661544208117.2
Germany,DEU,GDP per capita (constant 2015 US$),41929.7549110722,42516.9337063103,43543.4807050551,43905.8550061973,44235.2658954682,42372.8726784255,44011.0194631674
Germany,DEU,"Government expenditure on education, total (% of government expenditure)",10.6987800598144,10.6515398025513,10.7217998504639,10.9289703369141,11.0342197418213,10.7882499694824,10.5759496688843
Germany,DEU,Unemployment with advanced education (% of total labor force with advanced education),2.263,2.179,1.99,1.906,1.871,2.544,2.349
Germany,DEU,Unemployment with basic education (% of total labor force with basic education),11.166,10.1,9.615,8.852,7.947,9.439,7.629
Germany,DEU,Unemployment with intermediate education (% of total labor force with intermediate education),4.231,3.656,3.301,2.856,2.704,3.2,3.066
"Hong Kong SAR, China",HKG,GDP (constant 2015 US$),309385622601.348,316116086739.67,328116204743.636,337457513840.276,331813719170.552,310097161184.35,330112209080.37
"Hong Kong SAR, China",HKG,GDP per capita (constant 2015 US$),42432.1619740441,43087.5455578429,44380.8100340362,45280.5079891951,44195.2768644431,41451.2981131333,44530.9262090583
"Hong Kong SAR, China",HKG,"Government expenditure on education, total (% of government expenditure)",18.6085700988769,18.1271896362305,17.8412799835205,18.7878398895264,20.3140106201172,20.6210594177246,13.1164598464966
"Hong Kong SAR, China",HKG,Unemployment with advanced education (% of total labor force with advanced education),2.905,2.879,2.511,2.356,2.631,4.464,4.048
"Hong Kong SAR, China",HKG,Unemployment with basic education (% of total labor force with basic education),3.708,3.825,3.615,3.149,3.438,7.219,6.121
"Hong Kong SAR, China",HKG,Unemployment with intermediate education (% of total labor force with intermediate education),3.371,3.506,3.297,2.949,2.864,6.105,5.533
Hungary,HUN,GDP (constant 2015 US$),125244126623.289,128298381762.592,133589642960.172,141078862882.165,148241697677.304,141809897486.431,152052706989.445
Hungary,HUN,GDP per capita (constant 2015 US$),12782.9412577973,13145.6559885563,13734.2442804335,14533.7783144312,15290.8085466331,14664.2971195385,15787.9535427563
Hungary,HUN,"Government expenditure on education, total (% of government expenditure)",8.92263984680176,9.862380027771,9.94773006439209,10.0292501449585,9.16409015655518,8.07872009277344,9.6784200668335
Hungary,HUN,Unemployment with advanced education (% of total labor force with advanced education),2.417,1.803,1.618,1.458,1.536,1.853,1.768
Hungary,HUN,Unemployment with basic education (% of total labor force with basic education),17.306,13.153,11.075,10.117,9.529,10.79,10.918
Hungary,HUN,Unemployment with intermediate education (% of total labor force with intermediate education),6.401,4.76,3.744,3.309,3.033,4.136,3.919
Iceland,ISL,GDP (constant 2015 US$),17700486957.1907,18801118749.2807,19456350341.8065,20363166145.0836,20594942207.7632,19226227440.8995,20222255991.4032
Iceland,ISL,GDP per capita (constant 2015 US$),53505.6964079339,56049.2928648152,56657.9800285572,57731.6523401884,57118.8452718755,52464.3072858637,54285.0209153958
Iceland,ISL,"Government expenditure on education, total (% of government expenditure)",17.1551399230957,16.0048198699951,17.0771903991699,17.2492198944092,17.4431896209717,16.7979698181152,16.5910396575928
Iceland,ISL,Unemployment with advanced education (% of total labor force with advanced education),2.733,1.688,1.614,1.859,2.313,3.674,4.081
Iceland,ISL,Unemployment with basic education (% of total labor force with basic education),6.147,4.53,4.745,4.527,5.719,8.388,9.959
Iceland,ISL,Unemployment with intermediate education (% of total labor force with intermediate education),3.354,3.073,2.423,2.284,3.334,5.534,5.883
Indonesia,IDN,GDP (constant 2015 US$),860854232686.214,904181621780.388,950021694164.001,999178586309.021,1049330233997.45,1027656193885.38,1065709127396.86
Indonesia,IDN,GDP per capita (constant 2015 US$),3288.22269725538,3416.81005170972,3553.51999262321,3701.32155461912,3850.90321738979,3739.44906563161,3850.68877253903
Indonesia,IDN,"Government expenditure on education, total (% of government expenditure)",20.3588600158691,11.3228385780706,10.8803626838238,10.145246388091,9.34260924899348,9.31964024456527,8.96559769031117
Indonesia,IDN,Unemployment with advanced education (% of total labor force with advanced education),5.444,4.947,4.209,5.31,4.377,4.597,4.43
Indonesia,IDN,Unemployment with basic education (% of total labor force with basic education),3.088,3.065,2.613,2.969,2.377,2.868,2.252
Indonesia,IDN,Unemployment with intermediate education (% of total labor force with intermediate education),8.476,7.536,6.947,7.712,6.209,7.269,6.704
Ireland,IRL,GDP (constant 2015 US$),302101388556.271,305795232417.145,336707637029.955,362595940328.693,380627401462.693,407856325068.063,474166373639.897
Ireland,IRL,GDP per capita (constant 2015 US$),64250.1385181257,64205.979777351,69748.6221034014,74029.0550611436,76485.635854651,80927.936475395,92781.2322150786
Ireland,IRL,"Government expenditure on education, total (% of government expenditure)",12.9243097305298,13.3105401992798,13.3671703338623,13.3384199142456,13.5292997360229,11.9675798416138,12.3345098495483
Ireland,IRL,Unemployment with advanced education (% of total labor force with advanced education),5.636,5.026,4.048,3.812,3.22,4.124,4.169
Ireland,IRL,Unemployment with basic education (% of total labor force with basic education),16.807,14.206,11.312,9.723,8.63,8.047,10.161
Ireland,IRL,Unemployment with intermediate education (% of total labor force with intermediate education),12.401,10.07,8.427,6.923,5.952,6.903,8.117
Israel,ISR,GDP (constant 2015 US$),303469434072.296,317003511449.31,330783435889.189,344027669320.131,356792803355.853,349579824803.208,382399686301.549
Israel,ISR,GDP per capita (constant 2015 US$),36213.1041481958,37093.7879065422,37963.0491190696,38729.6426036983,39407.2016076709,37935.5432717179,40804.9689802536
Israel,ISR,"Government expenditure on education, total (% of government expenditure)",15.463020324707,15.3488597869873,15.7073497772217,15.5355396270752,15.7497797012329,14.5418701171875,15.40744972229
Israel,ISR,Unemployment with advanced education (% of total labor force with advanced education),3.352,2.924,2.765,2.462,2.566,2.865,3.457
Israel,ISR,Unemployment with basic education (% of total labor force with basic education),9.539,9.571,6.849,6.778,6.146,7.01,7.377
Israel,ISR,Unemployment with intermediate education (% of total labor force with intermediate education),5.581,5.04,4.604,4.44,4.197,4.752,5.5
Italy,ITA,GDP (constant 2015 US$),1845428048839.1,1868241619489.51,1898202609462.08,1913894038926.83,1922107755078.16,1751650987235.43,1908092024820.83
