Country Name,Country Code,Series Name,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Albania,ALB,GDP (constant 2015 US$),11470171826.9575,11918533446.9749,12309839868.7084,12761785703.1071,13025007474.8895,12593390460.142,13722964212.462
Albania,ALB,GDP per capita (constant 2015 US$),4199.53912925398,4431.55635814168,4648.23078660658,4893.82375538717,5072.43648354739,4980.61699524696,5511.75743402862
Albania,ALB,"Government expenditure on education, total (% of GDP)",3.41300010681152,3.91997003555298,3.54673004150391,3.08201370407389,3.8701798915863,3.32505011558533,3.00555992126465
Albania,ALB,Unemployment with advanced education (% of total labor force with advanced education),19.276,17.054,13.694,14.014,12.296,12.54,10.379
Albania,ALB,Unemployment with basic education (% of total labor force with basic education),13.5,12.916,12.24,9.907,8.687,9.345,10.109
Albania,ALB,Unemployment with intermediate education (% of total labor force with intermediate education),20.502,17.652,15.294,14.232,14.259,13.559,13.279
Armenia,ARM,GDP (constant 2015 US$),10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682
Armenia,ARM,GDP per capita (constant 2015 US$),3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187
Armenia,ARM,"Government expenditure on education, total (% of GDP)",2.80591011047363,2.75812005996704,2.70759010314941,2.11331180512289,2.15984239839771,2.70555996894836,2.76784992218018
Armenia,ARM,Unemployment with advanced education (% of total labor force with advanced education),17.529,16.815,17.817,11.58,9.405,7.323,7.431
Armenia,ARM,Unemployment with basic education (% of total labor force with basic education),15.244,14.57,17.403,7.052,11.576,7.806,7.087
Armenia,ARM,Unemployment with intermediate education (% of total labor force with intermediate education),18.835,18.226,17.683,10.008,9.936,9.025,9.761
Austria,AUT,GDP (constant 2015 US$),379546097300.633,387581921834.297,396388751744.592,406235924915.185,413365268699.049,387247796560.501,406312360757.929
Austria,AUT,GDP per capita (constant 2015 US$),43915.228020857,44362.6702805116,45056.6385912412,45951.5819164034,46550.5622459492,43428.6983137234,45368.6434337368
Austria,AUT,"Government expenditure on education, total (% of GDP)",5.49143981933594,5.50954008102417,5.40181016921997,5.25437021255493,5.23678016662598,5.57961988449097,5.48071002960205
Austria,AUT,Unemployment with advanced education (% of total labor force with advanced education),3.953,3.614,3.212,3.296,3.066,3.281,4.138
Austria,AUT,Unemployment with basic education (% of total labor force with basic education),11.147,12.659,13.005,11.453,10.715,11.533,14.347
Austria,AUT,Unemployment with intermediate education (% of total labor force with intermediate education),5.508,5.822,5.105,4.311,3.997,4.885,6.045
Belgium,BEL,GDP (constant 2015 US$),461044767544.531,466547349432.055,473426439010.72,482317238282.145,494099718080.569,470417598101.755,499839663858.827
Belgium,BEL,GDP per capita (constant 2015 US$),40893.804537772,41172.8862831209,41619.328629169,42208.3625650272,43006.4042308863,40769.0218072962,43140.9676652971
Belgium,BEL,"Government expenditure on education, total (% of GDP)",6.46963977813721,6.48613023757935,6.44915008544922,6.38883018493652,6.32381010055542,6.75470018386841,6.38081979751587
Belgium,BEL,Unemployment with advanced education (% of total labor force with advanced education),4.592,4.204,3.728,3.162,2.83,3.25,3.309
Belgium,BEL,Unemployment with basic education (% of total labor force with basic education),15.995,15.404,13.862,12.123,10.788,11.62,13.661
Belgium,BEL,Unemployment with intermediate education (% of total labor force with intermediate education),8.699,8.045,7.517,6.159,5.659,5.894,6.984
Bolivia,BOL,GDP (constant 2015 US$),33000198248.9146,34407300587.1524,35850757840.6068,36878987707.3734,37434651169.5829,32673162315.3388,35949969735.497
Bolivia,BOL,GDP per capita (constant 2015 US$),2996.01289811344,3077.57057564766,3160.16421228968,3204.53670819124,3207.3869521223,2765.0927177231,3011.55110807557
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",8.1434497833252,8.15062046051025,8.09722995758057,8.01585960388184,8.09103012084961,8.43710994720459,7.96216011047363
Bolivia,BOL,Unemployment with advanced education (% of total labor force with advanced education),3.77,6.208,6.416,5.993,5.286,13.033,7.725
Bolivia,BOL,Unemployment with basic education (% of total labor force with basic education),2.917,2.763,2.815,2.486,2.913,6.711,3.281
Bolivia,BOL,Unemployment with intermediate education (% of total labor force with intermediate education),4.593,4.847,5.014,5.03,5.163,10.702,6.813
Bosnia and Herzegovina,BIH,GDP (constant 2015 US$),16404348361.0926,16936219694.6475,17485647420.4505,18155173558.4672,18679105074.1119,18115912618.3228,19454976126.4078
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),4662.25869219448,4876.53471495633,5099.81602856447,5360.25201017633,5583.29721276458,5490.75366635139,5995.54197590494
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",3.0181128667772,4.26451015472412,2.83868424239217,3.89297008514404,4.04449987411499,3.01954088371123,4.13622999191284
Bosnia and Herzegovina,BIH,Unemployment with advanced education (% of total labor force with advanced education),20.455,21.364,16.706,15.369,13.267,12.663,11.992
Bosnia and Herzegovina,BIH,Unemployment with basic education (% of total labor force with basic education),28.928,26.292,19.716,20.133,15.005,19.726,16.737
Bosnia and Herzegovina,BIH,Unemployment with intermediate education (% of total labor force with intermediate education),29.199,26.178,21.692,18.902,16.377,16.223,15.621
Brazil,BRA,GDP (constant 2015 US$),1802211999456.42,1743173031878.48,1766232928473.27,1797736638146.82,1819683008336.22,1760056385298.89,1843880907790.44
Brazil,BRA,GDP per capita (constant 2015 US$),8936.1955889444,8577.84277969667,8628.25209645723,8722.33529970988,8771.43950372603,8435.01046209185,8799.22844579944
Brazil,BRA,"Government expenditure on education, total (% of GDP)",6.24105978012085,6.31403017044067,6.32047986984253,6.08851003646851,5.96346998214722,5.7714900970459,5.4969801902771
Brazil,BRA,Unemployment with advanced education (% of total labor force with advanced education),4.725,5.912,6.424,6.178,6.16,6.717,6.95
Brazil,BRA,Unemployment with basic education (% of total labor force with basic education),8.903,13.486,14.998,14.492,14.166,16.34,15.623
Brazil,BRA,Unemployment with intermediate education (% of total labor force with intermediate education),7.235,13.032,14.172,13.704,13.302,15.637,14.936
Bulgaria,BGR,GDP (constant 2015 US$),50765918159.1476,52302413861.9149,53738599840.5621,54990790971.5665,57076766353.313,55288418257.0389,59616490915.7479
Bulgaria,BGR,GDP per capita (constant 2015 US$),7268.65445473873,7586.50411050819,7898.70693013652,8194.37434587757,8626.13418680372,8440.08304721192,9161.47737990726
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",3.88469004631042,3.81435990333557,4.07754993438721,4.05201005935669,4.21430015563965,4.48298978805542,4.7092399597168
Bulgaria,BGR,Unemployment with advanced education (% of total labor force with advanced education),3.922,3.571,2.802,2.253,2.006,2.118,2.021
Bulgaria,BGR,Unemployment with basic education (% of total labor force with basic education),23.714,20.73,18.478,14.637,12.173,14.06,13.966
Bulgaria,BGR,Unemployment with intermediate education (% of total labor force with intermediate education),8.384,6.766,5.147,4.703,3.323,4.552,5.136
Canada,CAN,GDP (constant 2015 US$),1556508816217.14,1572673952924.25,1620386284360.03,1664832887873.71,1696605090551.84,1611126165625.03,1706996679677.69
Canada,CAN,GDP per capita (constant 2015 US$),43594.1941045394,43551.3425975115,44339.3886689254,44907.3436912123,45100.2915069262,42366.1285377884,44639.193269037
Canada,CAN,"Government expenditure on education, total (% of GDP)",4.73936986923218,4.81642007827759,4.95998001098633,4.88898992538452,4.77293014526367,4.88794994354248,4.74858999252319
Canada,CAN,Unemployment with advanced education (% of total labor force with advanced education),5.321,5.512,5.117,4.626,4.441,7.609,5.944
Canada,CAN,Unemployment with basic education (% of total labor force with basic education),14.13,14.072,12.871,11.776,11.537,17.026,14.532
Canada,CAN,Unemployment with intermediate education (% of total labor force with intermediate education),8.246,8.229,7.445,6.91,7.122,13.072,9.976
Chile,CHL,GDP (constant 2015 US$),242450355830.884,246700604515.86,250050047209.619,260027117802.785,261676645417.276,245600606668.884,273390120031.28
Chile,CHL,GDP per capita (constant 2015 US$),13433.9202987032,13505.097711133,13473.3458532934,13763.0068844795,13630.5935435578,12679.024004022,14051.4713630677
Chile,CHL,"Government expenditure on education, total (% of GDP)",4.90390014648438,5.36645984649658,5.43278980255127,5.473060131073,5.62629985809326,5.62992000579834,5.00225019454956
Chile,CHL,Unemployment with advanced education (% of total labor force with advanced education),5.054,6.195,7.032,7.589,6.854,9.568,8.132
Chile,CHL,Unemployment with basic education (% of total labor force with basic education),6.593,6.359,6.785,7.32,6.987,11.108,9.169
Chile,CHL,Unemployment with intermediate education (% of total labor force with intermediate education),7.417,7.728,7.905,8.172,8.387,12.188,10.31
Costa Rica,CRI,GDP (constant 2015 US$),56441920820.5194,58814921621.3159,61260269007.514,62862779082.5908,64382494195.8,61631202097.7205,66522107766.4296
Costa Rica,CRI,GDP per capita (constant 2015 US$),11714.7105980732,12084.4351325634,12468.5654531709,12679.5253643016,12877.650101079,12242.2098908533,13146.6927918465
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",6.87349987030029,6.89395999908447,7.06981992721558,6.76992988586426,6.73809003829956,6.62899017333984,6.24842977523804
Costa Rica,CRI,Unemployment with advanced education (% of total labor force with advanced education),5.848,4.65,4.353,5.106,6.096,8.933,7.503
Costa Rica,CRI,Unemployment with basic education (% of total labor force with basic education),8.969,9.283,8.481,9.585,11.838,18.182,16.15
Costa Rica,CRI,Unemployment with intermediate education (% of total labor force with intermediate education),10.672,8.912,9.566,12.346,13.813,21.104,21.012
Czechia,CZE,GDP (constant 2015 US$),189107698561.919,193988322685.058,204024435232.921,209798950825.42,217279912681.73,205753475017.539,214043320221.167
Czechia,CZE,GDP per capita (constant 2015 US$),17931.5987670768,18359.0978103904,19257.6930680911,19736.6295261285,20360.0599221814,19233.1469549829,20373.8783043424
Czechia,CZE,"Government expenditure on education, total (% of GDP)",5.71913003921509,5.50080013275146,3.75574994087219,4.21541023254395,4.46737003326416,4.62503004074097,4.65163993835449
Czechia,CZE,Unemployment with advanced education (% of total labor force with advanced education),2.381,1.871,1.483,1.185,0.996,1.418,1.359
Czechia,CZE,Unemployment with basic education (% of total labor force with basic education),22.692,20.466,12.992,10.637,10.696,10.4,12.861
Czechia,CZE,Unemployment with intermediate education (% of total labor force with intermediate education),4.702,3.498,2.691,2.059,1.749,2.394,2.686
Dominican Republic,DOM,GDP (constant 2015 US$),70966782572.4386,75735566406.0476,78714898894.6559,84301701754.6018,88427452425.8944,81415993438.0734,92824351636.8768
Dominican Republic,DOM,GDP per capita (constant 2015 US$),6800.95309395474,7177.75376475488,7379.39978067137,7818.70593240469,8117.04639185786,7395.8734262396,8344.90510312395
Dominican Republic,DOM,"Government expenditure on education, total (% of GDP)",3.60400277306673,3.85049560792469,3.92026752279272,3.92849467476802,4.04276873126053,4.51769850778985,3.58043271614957
Dominican Republic,DOM,Unemployment with advanced education (% of total labor force with advanced education),6.12,4.617,5.136,3.745,5.449,5.555,8.054
Dominican Republic,DOM,Unemployment with basic education (% of total labor force with basic education),7.159,6.482,4.899,4.861,4.766,4.08,5.952
Dominican Republic,DOM,Unemployment with intermediate education (% of total labor force with intermediate education),11.513,10.206,8.128,9.621,9.785,9.02,10.623
El Salvador,SLV,GDP (constant 2015 US$),23438240000.0,24033351541.724,24573529736.8617,25166352435.5773,25779775126.5993,23744951345.511,26571731219.3539
El Salvador,SLV,GDP per capita (constant 2015 US$),3790.34089108162,3875.84691357954,3954.84014277572,4046.16291720583,4143.11437097867,3808.53195436409,4247.54750394978
El Salvador,SLV,"Government expenditure on education, total (% of GDP)",3.90987992286682,3.82523989677429,3.7252299785614,3.60575008392334,3.38710999488831,3.66088008880615,3.57766008377075
El Salvador,SLV,Unemployment with advanced education (% of total labor force with advanced education),5.507,6.158,5.614,4.9,5.996,6.577,5.254
El Salvador,SLV,Unemployment with basic education (% of total labor force with basic education),3.887,3.407,3.692,3.748,3.393,3.967,3.623
El Salvador,SLV,Unemployment with intermediate education (% of total labor force with intermediate education),5.676,8.009,8.255,7.442,6.679,9.622,7.957
Estonia,EST,GDP (constant 2015 US$),23311847750.9394,24032887679.5037,25387062190.0468,26326306710.8582,27307395871.0676,26519903136.8312,28709089435.1187
Estonia,EST,GDP per capita (constant 2015 US$),17722.1557669523,18264.9873304279,19270.8141210511,19914.3454922878,20579.8756732376,19946.945696898,21570.6658455268
Estonia,EST,"Government expenditure on education, total (% of GDP)",5.05127000808716,5.05511999130249,4.86288022994995,5.13962984085083,5.16415023803711,5.44180011749268,5.21514987945557
Estonia,EST,Unemployment with advanced education (% of total labor force with advanced education),3.969,3.899,3.248,3.518,2.823,4.757,3.445
Estonia,EST,Unemployment with basic education (% of total labor force with basic education),12.286,12.887,10.768,10.536,9.644,13.567,14.233
Estonia,EST,Unemployment with intermediate education (% of total labor force with intermediate education),6.927,7.797,6.631,5.682,4.795,7.425,6.854
Finland,FIN,GDP (constant 2015 US$),233210733506.25,239208760000.401,247110710501.527,250058685918.643,253433824168.6,247120696232.09,253734502126.393
Finland,FIN,GDP per capita (constant 2015 US$),42560.3456767103,43529.6761616969,44862.220404205,45337.2409550575,45898.5708448954,44690.9801103074,45792.0454180872
Finland,FIN,"Government expenditure on education, total (% of GDP)",7.07199001312256,6.90873003005981,6.40826988220215,6.31771993637085,6.45300006866455,6.6812801361084,6.58820009231567
Finland,FIN,Unemployment with advanced education (% of total labor force with advanced education),6.395,5.804,5.637,4.344,4.021,4.515,4.598
Finland,FIN,Unemployment with basic education (% of total labor force with basic education),16.447,17.372,16.03,17.098,15.371,19.279,15.986
Finland,FIN,Unemployment with intermediate education (% of total labor force with intermediate education),10.156,9.563,9.522,7.86,7.26,8.396,8.384
Georgia,GEO,GDP (constant 2015 US$),15223796148.8396,15749049874.5344,16561685511.0983,17565660917.3341,18510819818.4957,17346401920.57,19192793472.268
Georgia,GEO,GDP per capita (constant 2015 US$),4086.6223465965,4225.09154904806,4442.50744127374,4713.65354845303,4975.81148194814,4659.60925318234,5175.19865185825
Georgia,GEO,"Government expenditure on education, total (% of GDP)",3.10870368877345,3.52338004112244,3.52442002296448,3.46094989776611,3.82985997200012,3.80951130708125,3.59441995620727
Georgia,GEO,Unemployment with advanced education (% of total labor force with advanced education),19.095,19.582,15.444,12.887,11.291,12.308,12.108
Georgia,GEO,Unemployment with basic education (% of total labor force with basic education),10.199,12.303,10.936,10.491,11.274,12.86,12.474
Georgia,GEO,Unemployment with intermediate education (% of total labor force with intermediate education),15.598,15.185,13.489,12.831,11.798,11.312,11.631
Germany,DEU,GDP (constant 2015 US$),3425099578746.09,3501212900675.89,3599173571724.7,3640049243667.4,3675639268112.03,3523764998709.97,3661544208117.2
Germany,DEU,GDP per capita (constant 2015 US$),41929.7549110722,42516.9337063103,43543.4807050551,43905.8550061973,44235.2658954682,42372.8726784255,44011.0194631674
Germany,DEU,"Government expenditure on education, total (% of GDP)",4.76157999038696,4.76321983337402,4.77830982208252,4.88401985168457,5.02757978439331,5.51600980758667,5.36734008789062
Germany,DEU,Unemployment with advanced education (% of total labor force with advanced education),2.263,2.179,1.99,1.906,1.871,2.544,2.349
Germany,DEU,Unemployment with basic education (% of total labor force with basic education),11.166,10.1,9.615,8.852,7.947,9.439,7.629
Germany,DEU,Unemployment with intermediate education (% of total labor force with intermediate education),4.231,3.656,3.301,2.856,2.704,3.2,3.066
"Hong Kong SAR, China",HKG,GDP (constant 2015 US$),309385622601.348,316116086739.67,328116204743.636,337457513840.276,331813719170.552,310097161184.35,330112209080.37
"Hong Kong SAR, China",HKG,GDP per capita (constant 2015 US$),42432.1619740441,43087.5455578429,44380.8100340362,45280.5079891951,44195.2768644431,41451.2981131333,44530.9262090583
"Hong Kong SAR, China",HKG,"Government expenditure on education, total (% of GDP)",3.26210999488831,3.29269003868103,3.30989003181458,3.32624006271362,3.81017994880676,4.40563011169434,4.00030994415283
"Hong Kong SAR, China",HKG,Unemployment with advanced education (% of total labor force with advanced education),2.905,2.879,2.511,2.356,2.631,4.464,4.048
"Hong Kong SAR, China",HKG,Unemployment with basic education (% of total labor force with basic education),3.708,3.825,3.615,3.149,3.438,7.219,6.121
"Hong Kong SAR, China",HKG,Unemployment with intermediate education (% of total labor force with intermediate education),3.371,3.506,3.297,2.949,2.864,6.105,5.533
Hungary,HUN,GDP (constant 2015 US$),125244126623.289,128298381762.592,133589642960.172,141078862882.165,148241697677.304,141809897486.431,152052706989.445
Hungary,HUN,GDP per capita (constant 2015 US$),12782.9412577973,13145.6559885563,13734.2442804335,14533.7783144312,15290.8085466331,14664.2971195385,15787.9535427563
Hungary,HUN,"Government expenditure on education, total (% of GDP)",4.49287986755371,4.60210990905762,4.64034986495972,4.60567998886108,4.20140981674194,4.12265014648438,4.65407991409302
Hungary,HUN,Unemployment with advanced education (% of total labor force with advanced education),2.417,1.803,1.618,1.458,1.536,1.853,1.768
Hungary,HUN,Unemployment with basic education (% of total labor force with basic education),17.306,13.153,11.075,10.117,9.529,10.79,10.918
Hungary,HUN,Unemployment with intermediate education (% of total labor force with intermediate education),6.401,4.76,3.744,3.309,3.033,4.136,3.919
Iceland,ISL,GDP (constant 2015 US$),17700486957.1907,18801118749.2807,19456350341.8065,20363166145.0836,20594942207.7632,19226227440.8995,20222255991.4032
Iceland,ISL,GDP per capita (constant 2015 US$),53505.6964079339,56049.2928648152,56657.9800285572,57731.6523401884,57118.8452718755,52464.3072858637,54285.0209153958
Iceland,ISL,"Government expenditure on education, total (% of GDP)",7.45796012878418,7.43221998214722,7.58384990692139,7.56350994110107,7.60129976272583,8.5838098526001,8.2265796661377
Iceland,ISL,Unemployment with advanced education (% of total labor force with advanced education),2.733,1.688,1.614,1.859,2.313,3.674,4.081
Iceland,ISL,Unemployment with basic education (% of total labor force with basic education),6.147,4.53,4.745,4.527,5.719,8.388,9.959
Iceland,ISL,Unemployment with intermediate education (% of total labor force with intermediate education),3.354,3.073,2.423,2.284,3.334,5.534,5.883
Indonesia,IDN,GDP (constant 2015 US$),860854232686.214,904181621780.388,950021694164.001,999178586309.021,1049330233997.45,1027656193885.38,1065709127396.86
Indonesia,IDN,GDP per capita (constant 2015 US$),3288.22269725538,3416.81005170972,3553.51999262321,3701.32155461912,3850.90321738979,3739.44906563161,3850.68877253903
Indonesia,IDN,"Government expenditure on education, total (% of GDP)",3.58361005783081,1.21023452496964,1.05324382490056,0.994436460846179,0.964399077622927,1.01593221347809,1.03221750658374
Indonesia,IDN,Unemployment with advanced education (% of total labor force with advanced education),5.444,4.947,4.209,5.31,4.377,4.597,4.43
Indonesia,IDN,Unemployment with basic education (% of total labor force with basic education),3.088,3.065,2.613,2.969,2.377,2.868,2.252
Indonesia,IDN,Unemployment with intermediate education (% of total labor force with intermediate education),8.476,7.536,6.947,7.712,6.209,7.269,6.704
Ireland,IRL,GDP (constant 2015 US$),302101388556.271,305795232417.145,336707637029.955,362595940328.693,380627401462.693,407856325068.063,474166373639.897
Ireland,IRL,GDP per capita (constant 2015 US$),64250.1385181257,64205.979777351,69748.6221034014,74029.0550611436,76485.635854651,80927.936475395,92781.2322150786
Ireland,IRL,"Government expenditure on education, total (% of GDP)",3.62438988685608,3.65881991386414,3.37737011909485,3.30347990989685,3.22984004020691,3.19163990020752,2.90461993217468
Ireland,IRL,Unemployment with advanced education (% of total labor force with advanced education),5.636,5.026,4.048,3.812,3.22,4.124,4.169
Ireland,IRL,Unemployment with basic education (% of total labor force with basic education),16.807,14.206,11.312,9.723,8.63,8.047,10.161
Ireland,IRL,Unemployment with intermediate education (% of total labor force with intermediate education),12.401,10.07,8.427,6.923,5.952,6.903,8.117
Israel,ISR,GDP (constant 2015 US$),303469434072.296,317003511449.31,330783435889.189,344027669320.131,356792803355.853,349579824803.208,382399686301.549
