Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Tanzania,TZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.19486548285076,4.10196721791864,4.43052005767822,3.69962000846863,3.59683638888648,3.23097255920833,3.11515335288784,3.2382450375764,3.25853222146531,3.15504437906936,..
Tanzania,TZA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,17.6345504974681,17.2042319575026,24.3965396881104,20.504940032959,14.2921084679586,13.6285579909749,13.5370081069869,14.3321092964105,13.7042376436214,13.4080981163871,..
Tanzania,TZA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,..,..,..,..,..,..,..,..,..,..
Tanzania,TZA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,1.433,..,..,..,1.739,..
Tanzania,TZA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,..,..,5.031,..,..,..,5.545,..
Tanzania,TZA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,6.36,..,..,..,5.54,..
Tanzania,TZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.009,1.931,1.854,1.792,1.735,1.792,1.876,1.573,1.565,1.557,1.572
Tanzania,TZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,47413919817.124,50669888784.2555,54078588995.4215,57054358529.8857,60363511324.6004,61565931105.4141,64226431583.1539,67159014151.451,70563656177.7408,74463225268.4644,..
Thailand,THA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5688.85335397884,5857.78052935926,6076.74307700082,6314.19948412043,6434.53770518034,6035.18627737077,6121.52696529713,6278.7855138276,6408.41432577294,6574.46109387985,..
Thailand,THA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.86397622727286,3.76761756770937,3.46532147640365,3.19769395901619,3.02221411183282,3.15314171737183,2.98212428478268,2.61187022798634,2.52122219628772,..,..
