Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Spain,ESP,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1206164777553.12,1241326362266.48,1277275696051.09,1307871701701.25,1333521400432.69,1187633217292.02,1267004457826.92,1347716659731.45,1380882052539.27,1428595035672.37,..
Sri Lanka,LKA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4057.7158346231,4214.74117992085,4436.00789945768,4493.03575444544,4455.78189608267,4227.23315306594,4357.97225779491,4033.14561476298,3964.91987394354,4186.4986638365,..
Sri Lanka,LKA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.10998010635376,3.22929000854492,2.59316992759705,1.98781001567841,..,1.55792392223723,1.50650579603928,1.20397218661186,1.82774571561927,..,..
Sri Lanka,LKA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,10.9502601623535,17.728759765625,14.4997596740723,11.3309001922607,..,5.46859160083623,5.03881234087412,5.34583042566108,8.67846709056539,7.22269991401548,..
Sri Lanka,LKA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,14.07718,11.52081,7.6737,..,..,..,..,..,..,..
Sri Lanka,LKA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,3.131,3.058,2.577,2.774,3.107,3.656,3.145,3.112,3.164,..,..
Sri Lanka,LKA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,7.828,7.058,6.74,6.9,7.293,8.427,8.749,7.123,7.173,..,..
Sri Lanka,LKA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,5.988,6.216,7.098,8.525,7.788,7.652,3.865,5.366,6.211,..,..
Sri Lanka,LKA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.519,4.242,4.046,4.318,4.67,5.364,4.981,4.528,4.528,4.239,4.005
Sri Lanka,LKA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,85090301052.0465,89390445684.9413,95165677467.0656,97364084798.8326,97149412680.2905,92656723482.0524,96555233343.7041,89459202881.0576,87374939262.0939,91751304716.6408,..
St. Kitts and Nevis,KNA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,20328.8003530109,21133.6575914414,21191.6047083703,21635.4972146482,22297.7644995701,18918.8263456611,19031.8211910603,21050.758653729,21664.0333984701,21692.2406392872,..
St. Kitts and Nevis,KNA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.54938006401062,3.00076147453842,2.77100327979144,3.03524983830349,2.72889566429639,3.10568635584663,2.78379011154175,3.5579615526858,3.49726171629099,..,..
St. Kitts and Nevis,KNA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,8.77348041534424,14.3605203411921,13.2636253451054,10.1063397719471,8.63854694668485,9.61476515772656,6.75769996643066,7.7259085644011,9.07579904967942,10.2031825658109,11.0021822262817
St. Kitts and Nevis,KNA,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,12.43709,17.55246,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,..,..,..,..,..,..,..,..
St. Kitts and Nevis,KNA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,..,..,..,..,..,..,..,..
